,Actor_name,Wikipedia_movie_ID,Actor age at movie release,log_revenues,Revenue_with_inflation,revenues_in_millions
0,Tom Cruise,5276575.117647059,33.55882352941177,19.52357667941592,417049067.1674247,301.2878504174932
1,Will Smith,4457158.5,33.25,19.489863934938622,486801166.656092,291.2999163995218
2,Arnold Schwarzenegger,6376695.0,46.0,19.30297173672423,333964107.55416495,241.6429392034581
3,Eddie Murphy,4871605.977777778,37.13333333333333,19.20651126080706,343277791.02556384,219.42285279745892
4,Mike Myers,3305525.3636363638,37.04545454545455,19.117405607422423,409312769.60174364,200.7168180913453
5,Frank Oz,885016.8571428572,43.32142857142857,19.08964345029228,430923304.6190141,195.22112536478267
6,Robert Redford,2984207.4583333335,49.041666666666664,19.000216117775988,266483622.5677271,178.52087832960183
7,Jim Carrey,4317834.321428572,36.785714285714285,18.99535166223572,285664648.8941357,177.654580196596
8,Hugo Weaving,13106383.416666666,45.791666666666664,18.980500716537104,560522272.7078835,175.03573596187363
9,Harrison Ford,4836219.157894737,48.39473684210526,18.977262452430242,480970300.7289498,174.46984077424196
10,Maggie Smith,6460627.862068965,62.03448275862069,18.845366614933795,496543743.62348866,152.9110006385861
11,Sally Field,3785259.5714285714,41.42857142857143,18.820057707080473,283031627.50523853,149.08955253326005
12,Tom Hanks,5063361.936170213,40.8936170212766,18.794062882654668,348358664.0034087,145.26393434954682
13,Emma Thompson,7075090.782608695,42.65217391304348,18.77366942588153,368442328.26009715,142.331503416206
14,Brad Pitt,4980234.888888889,37.26470588235294,18.735176369540813,247410445.38273847,136.95683614866226
15,Brad Garrett,4953901.15,41.2,18.729890000392864,359169640.00078136,136.23474206500592
16,Sean Connery,4324927.5,52.5945945945946,18.714701678652347,308999458.5441331,134.18119938044623
17,Jim Cummings,3546854.7297297297,45.54054054054054,18.70353600940982,331146124.9063698,132.69130977581392
18,Mel Gibson,3999493.0344827585,39.642857142857146,18.67996533629064,300333361.82959414,129.60025847555926
19,Cameron Diaz,7093870.8,30.133333333333333,18.676112460906364,338552612.2151838,129.10188553082264
20,Helena Bonham Carter,6665044.884615385,35.88,18.67561157173424,427316156.8981647,129.03723598673952
21,Christopher Lee,6778924.52,72.4,18.671476210851147,474902059.78700495,128.5047222756482
22,George Clooney,6737081.483870967,42.225806451612904,18.627305019609484,201198405.2066303,122.95205241939128
23,Dustin Hoffman,4784717.825,55.575,18.617452578676723,252528388.99199066,121.74662254962955
24,Leonardo DiCaprio,5461000.818181818,27.047619047619047,18.581703917017084,420263781.67300326,117.47121901800774
25,Michael J. Fox,2002136.7391304348,30.565217391304348,18.562468866513214,234706875.56914914,115.2332469417224
26,Chris Rock,6347290.387096774,36.03225806451613,18.560283391445772,240769384.80070415,114.98168254757543
27,Martin Lawrence,4370268.142857143,36.1578947368421,18.538930191130866,153994643.48428953,112.55248353474943
28,Pete Postlethwaite,6046188.333333333,54.15,18.51332380441231,246390642.9551011,109.7070077684263
29,Hugh Jackman,8856516.9,37.55,18.51303319371057,271711991.2092902,109.67513037009387
30,Adam Sandler,8918382.783783784,36.5945945945946,18.503999505003968,165741007.40916362,108.6888210964607
31,Harry Shearer,2628409.214285714,52.48148148148148,18.5039836554642,342491632.9195227,108.68709844232009
32,Geoffrey Rush,4951817.285714285,51.04761904761905,18.502775511661365,334186909.5405566,108.55586808642165
33,Jada Pinkett Smith,4189413.5,28.95,18.502027954016043,306009192.4899569,108.47474664254466
34,Frank Welker,3146348.2131147543,48.75,18.476890895077034,296447497.7574676,105.78199624345363
35,Jack Nicholson,4741740.583333333,50.083333333333336,18.458808484724248,201515699.23689878,103.88639296831795
36,Sylvester Stallone,4102220.85,45.48717948717949,18.434110131823346,271675017.75411105,101.35199671207218
37,Clint Eastwood,4109004.7441860465,51.651162790697676,18.423257917799166,156970911.09271526,100.25804976140141
38,Meryl Streep,6783620.5,47.891891891891895,18.421097986089926,164304263.56128836,100.04173291951686
